"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userCanCreateAccountTest()","","Fri Mar 20 08:52:45 UTC 2026","skipped","Fri Mar 20 08:52:45 UTC 2026","","iteration_1.api.CreateAccountTest","iteration_1.api.CreateAccountTest","userCanCreateAccountTest"
"","1140","userCanDepositMoneyWithValidAmount(double) [2] 4999.0","","Fri Mar 20 08:53:54 UTC 2026","passed","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.DepositMoneyTest","iteration_2_middle.api.DepositMoneyTest","userCanDepositMoneyWithValidAmount"
"","5936","userCanNotTransferWithMissingRequiredFields()","","Fri Mar 20 08:53:24 UTC 2026","passed","Fri Mar 20 08:53:30 UTC 2026","","iteration_2_middle.ui.TransferTest","iteration_2_middle.ui.TransferTest","userCanNotTransferWithMissingRequiredFields"
"","355","CustomerCanUpdateName()","","Fri Mar 20 08:53:56 UTC 2026","passed","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.UpdateNameTest","iteration_2_middle.api.UpdateNameTest","CustomerCanUpdateName"
"","3197","userCanNotDepositInvalidAmountOfMoneyTest(double, String) [3] 0.0, ❌ Please enter a valid amount.","","Fri Mar 20 08:52:45 UTC 2026","passed","Fri Mar 20 08:52:48 UTC 2026","","iteration_2_middle.ui.DepositMoneyTest","iteration_2_middle.ui.DepositMoneyTest","userCanNotDepositInvalidAmountOfMoneyTest"
"","6047","userCanNotDepositInvalidAmountOfMoneyTest(double, String) [2] -1, ❌ Please enter a valid amount.","","Fri Mar 20 08:52:45 UTC 2026","passed","Fri Mar 20 08:52:51 UTC 2026","","iteration_2_middle.ui.DepositMoneyTest","iteration_2_middle.ui.DepositMoneyTest","userCanNotDepositInvalidAmountOfMoneyTest"
"","6846","userCanNotTransferMoreThanMaximumAllowedAmount()","","Fri Mar 20 08:53:24 UTC 2026","passed","Fri Mar 20 08:53:31 UTC 2026","","iteration_2_middle.ui.TransferTest","iteration_2_middle.ui.TransferTest","userCanNotTransferMoreThanMaximumAllowedAmount"
"","0","adminCanGenerateAuthTokenTest()","","Fri Mar 20 08:52:43 UTC 2026","skipped","Fri Mar 20 08:52:43 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","470","userCanUpdateUsername()","","Fri Mar 20 08:53:54 UTC 2026","passed","Fri Mar 20 08:53:54 UTC 2026","","iteration_2_middle.api.UpdateUsernameTest","iteration_2_middle.api.UpdateUsernameTest","userCanUpdateUsername"
"","1098","userCanDepositMoneyWithValidAmount(double) [1] 5000.0","","Fri Mar 20 08:53:54 UTC 2026","passed","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.DepositMoneyTest","iteration_2_middle.api.DepositMoneyTest","userCanDepositMoneyWithValidAmount"
"","1842","userCanCreateAccountTest()","","Fri Mar 20 08:52:41 UTC 2026","passed","Fri Mar 20 08:52:43 UTC 2026","","iteration_1.ui.CreateAccountTest","iteration_1.ui.CreateAccountTest","userCanCreateAccountTest"
"","324","userCanGenerateAuthTokenTest()","","Fri Mar 20 08:52:44 UTC 2026","passed","Fri Mar 20 08:52:44 UTC 2026","","iteration_1.api.SeniorLoginUserTest","iteration_1.api.SeniorLoginUserTest","userCanGenerateAuthTokenTest"
"","3195","userCanNotUpdateNameWithInvalidData(String, String) [3]  , ❌ Please enter a valid name.","","Fri Mar 20 08:53:31 UTC 2026","passed","Fri Mar 20 08:53:35 UTC 2026","","iteration_2_middle.ui.UpdateNameTest","iteration_2_middle.ui.UpdateNameTest","userCanNotUpdateNameWithInvalidData"
"","0","adminCanNotCreateUserWithInvalidData(String, String, String, String, String)","","Fri Mar 20 08:52:44 UTC 2026","skipped","Fri Mar 20 08:52:44 UTC 2026","","iteration_1.api.SeniorCreateUserTest","iteration_1.api.SeniorCreateUserTest","adminCanNotCreateUserWithInvalidData"
"","6325","userCanNotTransferWithEmptyRecipientName()","","Fri Mar 20 08:53:24 UTC 2026","passed","Fri Mar 20 08:53:31 UTC 2026","","iteration_2_middle.ui.TransferTest","iteration_2_middle.ui.TransferTest","userCanNotTransferWithEmptyRecipientName"
"","4259","userCanLoginWithCorrectDataTest()","","Fri Mar 20 08:52:36 UTC 2026","passed","Fri Mar 20 08:52:40 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","1084","AdminCanNotCreateUserWithInvalidDataTest()","","Fri Mar 20 08:52:40 UTC 2026","passed","Fri Mar 20 08:52:41 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","AdminCanNotCreateUserWithInvalidDataTest"
"","0","userCanNotTransferToInvalidAccount()","","Fri Mar 20 08:53:26 UTC 2026","skipped","Fri Mar 20 08:53:26 UTC 2026","","iteration_2_middle.ui.TransferTest","iteration_2_middle.ui.TransferTest","userCanNotTransferToInvalidAccount"
"","1114","userCanCreateAccountTest()","","Fri Mar 20 08:52:43 UTC 2026","passed","Fri Mar 20 08:52:44 UTC 2026","","iteration_1.api.SeniorCreateAccountTest","iteration_1.api.SeniorCreateAccountTest","userCanCreateAccountTest"
"","0","userCanGenerateAuthTokenTest()","","Fri Mar 20 08:52:43 UTC 2026","skipped","Fri Mar 20 08:52:43 UTC 2026","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","0","userCanTransferValidLowerAmount()","","Fri Mar 20 08:53:56 UTC 2026","skipped","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.TransferTest","iteration_2_middle.api.TransferTest","userCanTransferValidLowerAmount"
"","6248","userCanNotDepositInvalidAmountOfMoneyTest(double, String) [1] 5001, ❌ Please deposit less or equal to 5000$.","","Fri Mar 20 08:52:45 UTC 2026","passed","Fri Mar 20 08:52:51 UTC 2026","","iteration_2_middle.ui.DepositMoneyTest","iteration_2_middle.ui.DepositMoneyTest","userCanNotDepositInvalidAmountOfMoneyTest"
"","0","userCanNotDepositMoneyWithInvalidAmount(double, String)","","Fri Mar 20 08:53:54 UTC 2026","skipped","Fri Mar 20 08:53:54 UTC 2026","","iteration_2_middle.api.DepositMoneyTest","iteration_2_middle.api.DepositMoneyTest","userCanNotDepositMoneyWithInvalidAmount"
"","0","userCanTransferToAnotherAccount()","","Fri Mar 20 08:53:56 UTC 2026","skipped","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.TransferToAnotherUserAccountTest","iteration_2_middle.api.TransferToAnotherUserAccountTest","userCanTransferToAnotherAccount"
"","747","adminCanCreateUserWithCorrectData()","","Fri Mar 20 08:52:44 UTC 2026","passed","Fri Mar 20 08:52:45 UTC 2026","","iteration_1.api.SeniorCreateUserTest","iteration_1.api.SeniorCreateUserTest","adminCanCreateUserWithCorrectData"
"","22719","userCanNotUpdateNameWithInvalidData(String, String) [1] Helen, ❌ Please enter a valid name.","","Fri Mar 20 08:53:31 UTC 2026","passed","Fri Mar 20 08:53:54 UTC 2026","","iteration_2_middle.ui.UpdateNameTest","iteration_2_middle.ui.UpdateNameTest","userCanNotUpdateNameWithInvalidData"
"","4108","userCanNotUpdateNameWithCurrentName()","","Fri Mar 20 08:53:31 UTC 2026","passed","Fri Mar 20 08:53:35 UTC 2026","","iteration_2_middle.ui.UpdateNameTest","iteration_2_middle.ui.UpdateNameTest","userCanNotUpdateNameWithCurrentName"
"","3075","userCanNotUpdateNameWithInvalidData(String, String) [2] , ❌ Please enter a valid name.","","Fri Mar 20 08:53:31 UTC 2026","passed","Fri Mar 20 08:53:34 UTC 2026","","iteration_2_middle.ui.UpdateNameTest","iteration_2_middle.ui.UpdateNameTest","userCanNotUpdateNameWithInvalidData"
"","1","AdminCanLoginWithCorrectDataTest()","","Fri Mar 20 08:52:36 UTC 2026","skipped","Fri Mar 20 08:52:36 UTC 2026","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","AdminCanLoginWithCorrectDataTest"
"","1163","userCanDepositMoneyWithValidAmount(double) [3] 1.0","","Fri Mar 20 08:53:54 UTC 2026","passed","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.DepositMoneyTest","iteration_2_middle.api.DepositMoneyTest","userCanDepositMoneyWithValidAmount"
"","38996","userCanDepositValidAmountOfMoneyTest(double) [2] 4999","","Fri Mar 20 08:52:45 UTC 2026","passed","Fri Mar 20 08:53:24 UTC 2026","","iteration_2_middle.ui.DepositMoneyTest","iteration_2_middle.ui.DepositMoneyTest","userCanDepositValidAmountOfMoneyTest"
"","4457","userCanDepositValidAmountOfMoneyTest(double) [1] 5000","","Fri Mar 20 08:52:45 UTC 2026","passed","Fri Mar 20 08:52:50 UTC 2026","","iteration_2_middle.ui.DepositMoneyTest","iteration_2_middle.ui.DepositMoneyTest","userCanDepositValidAmountOfMoneyTest"
"","0","userCanNotTransferInvalidAmount()","","Fri Mar 20 08:53:56 UTC 2026","skipped","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.TransferTest","iteration_2_middle.api.TransferTest","userCanNotTransferInvalidAmount"
"","1","userCanTransferValidBoundary()","","Fri Mar 20 08:53:56 UTC 2026","skipped","Fri Mar 20 08:53:56 UTC 2026","","iteration_2_middle.api.TransferTest","iteration_2_middle.api.TransferTest","userCanTransferValidBoundary"
"","6791","userCanMakeTransferWithValidDataTest()","","Fri Mar 20 08:53:24 UTC 2026","passed","Fri Mar 20 08:53:31 UTC 2026","","iteration_2_middle.ui.TransferTest","iteration_2_middle.ui.TransferTest","userCanMakeTransferWithValidDataTest"
"","123","adminCanGenerateAuthTokenTest()","","Fri Mar 20 08:52:44 UTC 2026","passed","Fri Mar 20 08:52:44 UTC 2026","","iteration_1.api.SeniorLoginUserTest","iteration_1.api.SeniorLoginUserTest","adminCanGenerateAuthTokenTest"
"","6427","userCanDepositValidAmountOfMoneyTest(double) [3] 1","","Fri Mar 20 08:52:45 UTC 2026","passed","Fri Mar 20 08:52:52 UTC 2026","","iteration_2_middle.ui.DepositMoneyTest","iteration_2_middle.ui.DepositMoneyTest","userCanDepositValidAmountOfMoneyTest"
"","3168","userCanUpdateNameWithValidData()","","Fri Mar 20 08:53:31 UTC 2026","passed","Fri Mar 20 08:53:34 UTC 2026","","iteration_2_middle.ui.UpdateNameTest","iteration_2_middle.ui.UpdateNameTest","userCanUpdateNameWithValidData"
"","0","AdminCanCreateUserTest()","","Fri Mar 20 08:52:40 UTC 2026","skipped","Fri Mar 20 08:52:40 UTC 2026","","iteration_1.ui.CreateUserTest","iteration_1.ui.CreateUserTest","AdminCanCreateUserTest"
